Country,Rank,Score
 Iceland,1,"1,107"
 New Zealand,2,"1,269"
 Ireland,3,"1,288"
 Denmark,4,"1,296"
 Austria,5,"1,300"
 Portugal,6,"1,301"
 Slovenia,7,"1,316"
 Czech Republic,8,"1,318"
 Singapore,9,"1,326"
 Japan,10,"1,336"
 Switzerland,11,"1,357"
 Canada,12,"1,389"
 Hungary,13,"1,411"
 Finland,14,"1,439"
 Croatia,15,"1,440"
 Germany,16,"1,462"
 Norway,17,"1,465"
 Malaysia,18,"1,471"
 Bhutan,19,"1,481"
 Slovakia,20,"1,499"
 Netherlands,21,"1,522"
 Belgium,22,"1,526"
 Qatar,23,"1,533"
 Bulgaria,24,"1,541"
 Poland,25,"1,552"
 Sweden,26,"1,564"
 Australia,27,"1,565"
 Mauritius,28,"1,570"
 Spain,29,"1,603"
 Taiwan,30,"1,618"
 Romania,31,"1,640"
 Italy,32,"1,643"
 Estonia,33,"1,662"
 United Kingdom,34,"1,667"
 Latvia,35,"1,673"
 North Macedonia,36,"1,704"
 Lithuania,37,"1,724"
 Costa Rica,38,"1,732"
 Kuwait,39,"1,739"
 Ghana,40,"1,759"
 Albania,41,"1,761"
 Mongolia,42,"1,775"
 South Korea,43,"1,779"
 Vietnam,44,"1,786"
 The Gambia,45,"1,792"
 Uruguay,46,"1,795"
 Indonesia,47,"1,800"
 Botswana,48=,"1,801"
 Montenegro,48=,"1,801"
 Sierra Leone,50,"1,803"
 Laos,51,"1,809"
 Serbia,52,"1,832"
 Greece,53,"1,838"
 Timor-Leste,54,"1,839"
 Chile,55,"1,840"
 Zambia,56,"1,841"
 Jordan,57,"1,849"
 Bosnia and Herzegovina,58,"1,850"
 Equatorial Guinea,59,"1,863"
 United Arab Emirates,60,"1,865"
 Panama,61,"1,876"
 Cambodia,62=,"1,882"
 Moldova,62=,"1,882"
 Oman,64,"1,889"
 France,65=,"1,895"
 Malawi,65=,"1,895"
 Cyprus,67,"1,903"
 Namibia,68,"1,908"
 Argentina,69,"1,911"
 Senegal,70,"1,916"
 Kosovo,71,"1,938"
 Rwanda,72,"1,945"
   Nepal,73,"1,947"
 Morocco,74,"1,969"
 Gabon,75=,"1,973"
 Liberia,75=,"1,973"
 Paraguay,77,"1,976"
 Angola,78,"1,982"
 Ecuador,79,"1,988"
 Bolivia,80,"1,989"
 Dominican Republic,81=,"1,990"
 Jamaica,81=,"1,990"
 Armenia,83,"1,992"
 Madagascar,84,"1,995"
 Tunisia,85,"1,996"
 Tanzania,86=,"2,001"
 Uzbekistan,86=,"2,001"
 Trinidad and Tobago,88,"2,005"
 China,89,"2,010"
 Sri Lanka,90,"2,020"
 Kyrgyz Republic,91,"2,028"
 Tajikistan,92,"2,031"
 Eswatini,93,"2,033"
 Papua New Guinea,94,"2,046"
 Georgia,95,"2,065"
 Bangladesh,96,"2,067"
 Kazakhstan,97,"2,071"
 Cuba,98,"2,083"
 Bahrain,99,"2,085"
 Lesotho,100,"2,089"
 Peru,101,"2,091"
 Togo,102,"2,094"
 Thailand,103,"2,098"
 Turkmenistan,104,"2,116"
 Benin,105,"2,125"
 Guatemala,106,"2,139"
 Guyana,107,"2,140"
 Cote d'Ivoire,108,"2,144"
 Algeria,109,"2,146"
 Guinea-Bissau,110,"2,156"
 Republic of the Congo,111,"2,184"
 Mauritania,112,"2,193"
 Djibouti,113,"2,213"
 El Salvador,114,"2,231"
 Haiti,115,"2,254"
 Belarus,116,"2,259"
 Honduras,117,"2,269"
 South Africa,118,"2,283"
 Saudi Arabia,119,"2,288"
 Kenya,120,"2,303"
 Uganda,121,"2,309"
 Mozambique,122,"2,316"
 Guinea,123,"2,332"
 Nicaragua,124,"2,334"
 Philippines,125,"2,339"
 Egypt,126,"2,342"
 Zimbabwe,127,"2,350"
 Azerbaijan,128,"2,437"
 United States of America,129,"2,440"
 Brazil,130,"2,465"
 Burundi,131,"2,470"
 Eritrea,132,"2,494"
 Palestine,133,"2,552"
 Israel,134,"2,576"
 India,135,"2,578"
 Chad,136,"2,591"
 Mexico,137,"2,612"
 Lebanon,138,"2,615"
 Myanmar,139,"2,631"
 Niger,140,"2,655"
 Iran,141,"2,687"
 Cameroon,142,"2,709"
 Nigeria,143,"2,725"
 Colombia,144,"2,729"
 Turkey,145,"2,785"
 Burkina Faso,146,"2,786"
 Pakistan,147,"2,789"
 Venezuela,148,"2,798"
 Ethiopia,149,"2,806"
 Mali,150,"2,911"
 Libya,151,"2,930"
 North Korea,152,"2,942"
 Ukraine,153,"2,971"
 Sudan,154,"3,007"
 Central African Republic,155,"3,021"
 Somalia,156,"3,125"
 Iraq,157,"3,157"
 Democratic Republic of the Congo,158,"3,166"
 South Sudan,159,"3,184"
 Russia,160,"3,275"
 Syria,161,"3,356"
 Yemen,162,"3,394"
 Afghanistan,163,"3,554"
